PART NUMBER,GROUP,CUST PRICE,RET PRICE,CATEGORY
001130,PRICEGROUP1,33.45,83.0477,3050
001130,PRICEGROUP2,33.45,83.0477,3040
001130,PRICEGROUP3,36.9106,83.0477,3030
001130,PRICEGROUP4,41.5239,83.0477,3020
001130,PRICEGROUP5,44.9836,83.0477,3010
001130,PRICEGROUP6,33.45,83.0477,3031
001130,PRICEGROUP7,41.5239,83.0477,3021
001130UC,PRICEGROUP1,33.45,83.0477,3050
001130UC,PRICEGROUP2,33.45,83.0477,3040
001130UC,PRICEGROUP3,36.9106,83.0477,3030
001130UC,PRICEGROUP4,41.5239,83.0477,3020
001130UC,PRICEGROUP5,44.9836,83.0477,3010
001130UC,PRICEGROUP6,33.45,83.0477,3031
001130UC,PRICEGROUP7,41.5239,83.0477,3021
001400,PRICEGROUP1,33.45,83.0477,3050
001400,PRICEGROUP2,33.45,83.0477,3040
001400,PRICEGROUP3,36.9106,83.0477,3030
001400,PRICEGROUP4,41.5239,83.0477,3020
001400,PRICEGROUP5,44.9836,83.0477,3010
001400,PRICEGROUP6,33.45,83.0477,3031
001400,PRICEGROUP7,41.5239,83.0477,3021
001410,PRICEGROUP1,33.45,83.0477,3050
001410,PRICEGROUP2,33.45,83.0477,3040
001410,PRICEGROUP3,36.9106,83.0477,3030
001410,PRICEGROUP4,41.5239,83.0477,3020
001410,PRICEGROUP5,44.9836,83.0477,3010
001410,PRICEGROUP6,33.45,83.0477,3031
001410,PRICEGROUP7,41.5239,83.0477,3021
001421,PRICEGROUP1,26.529,66.8995,3050
001421,PRICEGROUP2,26.529,66.8995,3040
001421,PRICEGROUP3,29.989,66.8995,3030
001421,PRICEGROUP4,33.4498,66.8995,3020
001421,PRICEGROUP5,36.9151,66.8995,3010
001421,PRICEGROUP6,26.529,66.8995,3031
001421,PRICEGROUP7,33.4498,66.8995,3021
001440,PRICEGROUP1,49.5961,110.7302,3050
001440,PRICEGROUP2,49.5961,110.7302,3040
001440,PRICEGROUP3,53.0619,110.7302,3030
001440,PRICEGROUP4,56.5167,110.7302,3020
001440,PRICEGROUP5,59.9825,110.7302,3010
001440,PRICEGROUP6,49.5983,110.7302,3031
001440,PRICEGROUP7,56.4724,110.7302,3021
001440UC,PRICEGROUP1,49.5961,110.7302,3050
001440UC,PRICEGROUP2,49.5961,110.7302,3040
001440UC,PRICEGROUP3,53.0619,110.7302,3030
001440UC,PRICEGROUP4,56.5167,110.7302,3020
001440UC,PRICEGROUP5,59.9825,110.7302,3010
001440UC,PRICEGROUP6,49.5983,110.7302,3031
001440UC,PRICEGROUP7,56.4724,110.7302,3021
001452,PRICEGROUP1,33.45,83.0477,3050
001452,PRICEGROUP2,33.45,83.0477,3040
001452,PRICEGROUP3,36.9106,83.0477,3030
001452,PRICEGROUP4,41.5239,83.0477,3020
001452,PRICEGROUP5,44.9836,83.0477,3010
001452,PRICEGROUP6,33.45,83.0477,3031
