Customer,Company name,Category
BRA46,BRAKE & CLUTCH WAREHOUSE P/L,3050
BRA47,BRAKES AND MORE PTY LTD,3031
BRA50,BRAKEWEST PTY LTD,3030
BRA51,BRABOND BRAKES (PENSHURST) PTY,3030
BRA52,BRAKE POINT,3030
BRI34,BRISBANE BRAKE & CLUTCH SUPPLI,3010
BRO07,AUTOBARN BROWNS PLAINS,3021
BRO08,BROWNS STOCKFEED PTY LTD,3030
BRO10,AUTOBARN BROWNS PLAINS,3021
BRO12,AUTO ONE BROWNS PLAINS,3030
BRO14,BROKEN HILL AUTO PARTS,3030
BSB00,B & S BUDGET AUTO PARTS,3020
BUC03,BUCKLAND AUTO ELECTRICAL,3020
BUD00,BUDGET AUTO PARTS,3010
BUL05,BULLSEYE AUTOPART CENTRE,3030
BUL06,BULLSEYE AUTOPART CENTRE,3020
BUN04,AUTOBARN BUNDALL,3021
BUN08,AUTOBARN BUNDABERG,3021
BUN12,BUNBURY AUTO ONE,3030
BUR04,BURT BROS AUTOMOTIVE SERVICES,3030
BUR13,AUTOBARN BURLEIGH,3021
BUR21,AUTOBARN BURLEIGH HEADS,3021
BUR30,AUTOBARN BURNIE(use DEV02),3021
BUR32,AUTOBARN BURLEIGH HEADS,3021
BUR81,BURPENGARY AUTO SPARES,3020
BYR00,BYRON STREET AUTO ELECTRICS,3020
BYR04,BYRON SPARES (use INV02),3020
CAB12,AUTOBARN CABOOLTURE,3021
CAI00,AUTO ONE CAIRNS,3020
CAI02,AUTOBARN CAIRNS,3021
CAM03,CAMPBELLFIELD TRUCK ELECTRICS,3020
CAM11,CAMPASPE IRRIGATION,3030
CAM14,AUTOBARN CAMPBELLTOWN,3021
CAN04,CANBERRA AUTO PARTS,3020
CAN05,CANOBOLAS AUTO ONE / JOLEE,3030
CAN09,CANNINGVALE AUTO PARTS,3021
CAN10,BURSON AUTO PARTS CANNING VALE,3010
CAN11,AUTO ONE CANNINGTON,3030
CAN13,AUTOBARN CANNON HILL,3021
CAP11,AUTOBARN CAPALABA,3021
CAR10,CAR STEREO REPAIRS,3010
CAR11,CARTER'S CLUTCH & BRAKE SVCE,3040
CAR13,CARTER'S CLUTCH & BRAKE SVCE,3040
CAR15,CAR PARTS PLUS,3050
CAR16,AUTOBARN DANDENONG,3021
CAR26,CAR PARTS (NT),3020
CAR44,AUTOBARN CAROLINE SPRINGS,3021
CAR49,AUTOPRO CARNARVON,3021
CAR51,CARRIER AUSTRALIA PTY LTD,3010
CAS50,CASH SALES - RETAIL (SA),3020
CBC00,MOTION ASIA PACIFIC GROUP,3030
CEN06,CENTRAL AUTO SERVICE,3030
CEN17,CENTRAL WESTERN BRAKE & CLUTCH,3030
CEN18,CENTRAL SPARES,3020
CEN19,MAXIPARTS - WARNERVALE,3030
CEN20,CENTRAL COAST CLUTCH & BRAKE P,3030
CEN21,CENTRAL COAST CLUTCH & BRAKE,3030
CEN22,CENTRAL AUTO PARTS,3020
CEN23,CD POWER,3020
CHA05,AUTOBARN CHADSTONE,3021
CHA20,CHATSWOOD BRAKE & CLUTCH,3030
CHA28,CHAIN & DRIVES AUSTRALIA PTY L,3010
CHE06,CHEVPARTS,3020
CHE10,CHEAPA AUTO SPARES TOWNSVILLE,3030
CHE11,CHEAPA AUTO SPARES INGHAM,3030
CHE19,CHEAPA AUTO SPARES-ASHMORE,3030
CHE20,CHEAPA AUTO SPARES-CURRUMBIN,3030
CHE23,CHEAPA AUTO SPARES-OXENFORD,3030
CHE24,CHEAPA AUTO SPARES-MUDGEERABA,3030
CHI09,AUTOBARN CHIRNSIDE PARK,3021
CLA15,AUTOBARN CLAYTON,3021
CLA19,AUTOPRO/SPRINT CLARE,3021
CLA29,CLANCY'S AG PTY LTD,3010
CLA30,CLARKES QUALITY BRAKE & CLUTCH,3030
CLA31,CLARK EQUIPMENT SALES PTY LTD,3020
CLI03,CLIFF WRIGHT MOTORS,3030
CLO02,AUTO ONE CLOVERCREST,3030
CLU01,CLUTCH & BRAKE SPECIALISTS,3030
CLU03,CLUTCH DIRECT PTY LTD,3030
CMI03,CMI HINO,3030
COA07,COASTAL BRAKE & CLUTCH SERVICE,3030
COB00,TRUCKZONE PTY LTD,3030
COC08,COCKYS AUTO MART (SA) PTY LTD,3050
COF03,AUTOBARN COFFS HARBOUR,3021
COL07,MAXIPARTS - WINGFIELD,3030
COL18,AUTO ONE COLLIE,3030
COL19,COLLIER & MILLER PTY LTD,3010
COL20,MAXIPARTS,3030
COL23,AUTOPRO COLAC,3021
COM17,COMMERCIAL BRAKE AND CLUTCH SU,3030
COM25,COMBINED RURAL TRADERS,3010
CON05,CONDELL PARK SPARES,3010
COO15,COOLUM CAR BITZ P/L,3030
COO18,COOROY CAR PARTS,3030
COV05,COVS PARTS PTY LTD,3030
CRA02,AUTOBARN CRANBOURNE,3021
CRO00,AUTOBARN CROYDON,3021
CUM13,CUMMINS DIESEL AUSTRALIA,3030
CUR05,CURRAJONG BRAKE PARTS & SERVIC,3020
CUS15,CUSTOM CLASSIC BODY SHOP,3050
DAI02,DAIMLER TRUCKS LAVERTON,3030
DAL08,DALBY ENGINE REBUILDERS,3030
DAN09,DANDENONG AUTO PARTS PTY LTD,3050
DAP01,DAPTO CLUTCH & BRAKE PTY LTD,3030
DAR06,DARYL ROBERTSON AUTOELECTRICAL,3030
DAR09,DARBY'S BRAKE & CLUTCH P/L,3030
DAS01,DASCO SUPPLY GROUP,3010
DAT00,DATSPORT,3020
DAV02,DAVIES AUTOMOTIVE & INDUSTRIAL,3030
DAW00,DAWMAC INDUSTRIES,3030
DEC04,DECON TECHNOLOGIES PTY LTD,3030
DEN11,DENILIQUIN MACHINERY,3030
DEN12,AUTOBARN DENILIQUIN,3021
DES03,DES MUNDAY & SON ENG. SUPP.,3030
DEV00,AUTOBARN DEVONPORT,3021
DEV02,AUTOBARN BURNIE,3021
DIM01,AUTOPRO KILKENNY,3030
DIS02,DISCOUNT BRAKE AND CLUTCH,3010
DIS07,DISCOUNT BRAKE AND CLUTCH,3010
DNA00,DNA AUTO PARTS,3010
DON01,AUTOBARN DONCASTER,3021
DON04,DON KYATT SPARE PARTS,3010
DOO00,DOOSIDE (USE DOO01),3020
DOO01,DOONSIDE AUTO PARTS,3020
DUB01,AUTOBARN DUBBO,3021
DUG02,DUGGANS TYRE CENTRE,3010
DUS00,DUSTINGS RACE TEAM,3030
EAS06,EASTERN AUTOMATION PTY LTD,3030
EAS19,EAST COAST AUTO PARTS,3030
ECB00,ENFIELD CLUTCH & BRAKE SERVICE,3050
ECH00,AUTOBARN ECHUCA,3021
EDG01,EDGEWORTH AUTO PARTS,3030
EDW02,SPRINT AUTO PARTS EDWARDSTOWN,3030
EFA00,E & F AUTOPRO,3021
EIL00,EILDON INDUSTRIES,3010
EKR00,AUTO ONE MUDGEE,3030
ELI01,AUTOBARN ELIZABETH,3021
ELT02,AUTOBARN ELTHAM,3021
EME00,AUTOBARN EMERTON,3021
EME06,AUTOPRO EMERALD,3021
ENF00,AUTOPRO/SPRINT ENFIELD,3021
ENG02,HENDERSON MOTORS,3030
EPA00,E PARROTT & SON LTD,3030
EPP03,AUTOBARN EPPING,3021
EPV00,EPV SPECIALTY SERVICE CENT PL,3010
EQU03,EQUIPE AUTO PARTS,3030
EUR05,EURO STAR CAR PARTS PTY LTD,3030
EUR06,EUROAUS AUTOMOTIVE PTY LTD,3030
EUR07,EUROASIAN PRESTIGE CAR PARTS P,3030
EXP04,SGS AUSTRALIA,3020
FAI03,FAIRBANK AUTOPRO,3021
FAR04,AUTOPRO MUSWELLBROOK,3021
FAW00,FAWKNER CLUTCH & BRAKE,3050
FER01,AUTOBARN FERNTREE GULLY,3021
FIR04,FIRST CHOICE AUTOMOTIVE PARTS,3040
FIS02,FISHOP FALCON,3010
FLE00,FLEETPARTS AUSTRALIA LTD,3030
FOR54,FORKLIFT & MORE,3010
FRA11,AUTOBARN FRANKSTON,3021
FRY01,FRY'S SPARES,3030
FRY02,FRY'S SPARES,3030
GAM02,GAMBIER WEST BRAKE SERVICE PL,3030
GAT02,GATTON SPARE PARTS,3021
GAW05,AUTOPRO GAWLER,3021
GEE03,AUTOBARN GEELONG NORTH,3021
GEE07,GEELONG BRAKE & CLUTCH PTY LTD,3030
GEM02,GEMINI AUTO SPARES,3031
GEM03,GEMILANG AUSTRALIA PTY LTD,3030
GER04,GERALDTON FISHERMEN'S CO-OPERA,3030
GER07,GERALDTON AG SERVICES,3030
GIB03,GIBBOS AUTO SPARES,3030
GIB05,GIBBOS AUTO SPARES,3020
GIB06,GIBBOS AUTO SPARES,3030
GIL01,AUTOBARN GILLES PLAINS,3021
GIL02,GILBERT & ROACH P/L,3030
GIP03,GIPPSLAND TRUCK CENTRE PTY LTD,3030
GLA05,AUTOBARN GLADSTONE,3021
GLA06,GLADSTONE CITY BRAKE & CLUTCH,3030
GLA09,AUTOBARN GLADSTONE,3021
GLA10,AUTOPRO GLADSTONE,3021
GLE10,AUTOBARN GLENORCHY,3021
GLI01,GLICKS AUTO PLUS & 4WD CENTRE,3030
GLI02,GLICKS AUTO PLUS & 4WD CENTRE,3030
GLO00,GLOBAL PARTS WHOLESALERS,3030
GLO05,GLOSSOP STREET SPARES,3030
GLO06,GLOBAL TRIM,3050
GLO12,GLOBELINE AUTO PARTS,3030
GOL07,GOLDFIELDS TRUCK POWER,3030
GOL10,GOLD COAST BRAKES AND MECHANIC,3030
GOL14,GOLDFIELDS AUTO SPARES,3030
GOP00,GO PARTS,3050
GOS06,A1 AUTOPARTS GOSFORD,3040
