"Part No""",Available Stock,Site
"=""001700""",0,NSW01
"=""001700""",0,VIC01
"=""001700""",0,DCV01
"=""001700""",0,TAS01
"=""001700""",0,WA001
"=""001700""",0,QLD01
"=""001720""",1,DCV01
"=""001720""",0,AC001
"=""001720""",13,WHS01
"=""001720""",0,VIC01
"=""001720""",1,QLD01
"=""001720""",1,WA001
"=""001720""",1,NSW01
"=""001720""",1,TAS01
"=""001720""",1,SA001
"=""001720""",0,DCV02
001720UC,0,DCV02
001720UC,0,SA001
001720UC,0,WA001
001720UC,0,VIC01
001720UC,0,QLD01
001720UC,0,NSW01
001720UC,0,AC001
001720UC,0,WHS01
001720UC,0,TAS01
001720UC,0,DCV01
"=""001912""",0,WA001
"=""001912""",0,QLD01
"=""001912""",0,DCV01
"=""001912""",2,WHS01
"=""001912""",0,VIC01
"=""001912""",0,NSW01
"=""001912""",0,SA001
"=""001912""",0,TAS01
"=""001912""",0,DCV02
"=""001912""",0,AC001
"=""002000""",0,AC001
"=""002000""",0,TAS01
"=""002000""",0,DCV02
"=""002000""",0,SA001
"=""002000""",0,NSW01
"=""002000""",0,VIC01
"=""002000""",2,WHS01
"=""002000""",0,DCV01
"=""002000""",0,QLD01
"=""002000""",0,WA001
"=""002010""",0,WA001
"=""002010""",0,QLD01
"=""002010""",0,DCV01
"=""002010""",1,WHS01
"=""002010""",0,VIC01
"=""002010""",0,NSW01
"=""002010""",0,SA001
"=""002010""",0,DCV02
"=""002010""",0,TAS01
"=""002010""",0,AC001
"=""002104""",0,AC001
"=""002104""",0,TAS01
"=""002104""",0,DCV02
"=""002104""",0,SA001
"=""002104""",0,NSW01
"=""002104""",0,VIC01
"=""002104""",0,WHS01
"=""002104""",0,DCV01
"=""002104""",0,QLD01
"=""002104""",0,WA001
"=""002200""",1,DCV01
"=""002200""",1,WA001
"=""002200""",1,QLD01
"=""002200""",0,VIC01
"=""002200""",9,WHS01
"=""002200""",1,SA001
"=""002200""",1,TAS01
"=""002200""",1,NSW01
"=""002200""",0,AC001
"=""002200""",0,DCV02
002200UC,0,DCV02
002200UC,0,QLD01
002200UC,0,NSW01
002200UC,0,VIC01
002200UC,0,WA001
002200UC,0,SA001
002200UC,0,AC001
002200UC,0,WHS01
002200UC,0,TAS01
002200UC,0,DCV01
"=""002210""",0,DCV01
"=""002210""",0,AC001
"=""002210""",1,NSW01
"=""002210""",2,TAS01
"=""002210""",1,SA001
"=""002210""",0,VIC01
"=""002210""",1,QLD01
"=""002210""",10,WHS01
"=""002210""",1,WA001
"=""002210""",0,DCV02
002210UC,0,DCV02
002210UC,0,SA001
002210UC,0,WA001
002210UC,0,VIC01
002210UC,0,NSW01
002210UC,0,QLD01
002210UC,0,AC001
002210UC,0,TAS01
002210UC,0,WHS01
002210UC,0,DCV01
"=""002220""",0,DCV01
"=""002220""",0,WA001
"=""002220""",0,QLD01
"=""002220""",1,WHS01
"=""002220""",0,VIC01
"=""002220""",0,NSW01
"=""002220""",0,SA001
"=""002220""",0,DCV02
"=""002220""",0,TAS01
"=""002220""",0,AC001
"=""002240""",0,AC001
"=""002240""",0,TAS01
"=""002240""",0,DCV02
"=""002240""",0,SA001
"=""002240""",0,NSW01
"=""002240""",0,VIC01
"=""002240""",1,WHS01
"=""002240""",0,QLD01
"=""002240""",0,WA001
"=""002240""",0,DCV01
"=""002402""",0,DCV01
"=""002402""",1,WA001
"=""002402""",10,WHS01
"=""002402""",1,QLD01
"=""002402""",0,VIC01
"=""002402""",1,SA001
"=""002402""",1,TAS01
"=""002402""",1,NSW01
"=""002402""",0,AC001
"=""002402""",2,DCV02
002402UC,0,DCV02
002402UC,0,QLD01
002402UC,0,NSW01
002402UC,0,VIC01
002402UC,0,WA001
002402UC,0,SA001
002402UC,0,AC001
002402UC,0,WHS01
002402UC,0,TAS01
002402UC,0,DCV01
"=""002520""",1,DCV01
"=""002520""",0,AC001
"=""002520""",2,NSW01
"=""002520""",1,TAS01
"=""002520""",1,SA001
"=""002520""",0,VIC01
"=""002520""",1,QLD01
"=""002520""",12,WHS01
"=""002520""",1,WA001
"=""002520""",0,DCV02
002520UC,0,DCV02
002520UC,0,SA001
002520UC,0,WA001
002520UC,0,VIC01
002520UC,0,NSW01
002520UC,0,QLD01
002520UC,0,AC001
002520UC,0,WHS01
002520UC,0,TAS01
002520UC,0,DCV01
"=""003600""",1,DCV01
"=""003600""",0,AC001
"=""003600""",9,WHS01
"=""003600""",2,NSW01
"=""003600""",0,QLD01
"=""003600""",1,SA001
"=""003600""",1,TAS01
"=""003600""",0,VIC01
"=""003600""",1,WA001
"=""003600""",2,DCV02
